verb,adverb,count
address,directly,17
address,actually,6
address,really,4
address,publicly,4
address,adequately,3
address,personally,2
address,probably,2
address,properly,2
address,immediately,2
address,briefly,2
allege,directly,2
allege,wrongly,1
allege,reportedly,1
allege,officially,1
allege,finally,1
allege,credibly,1
allege,commonly,1
articulate,clearly,5
articulate,simply,1
articulate,rarely,1
articulate,proactively,1
articulate,poorly,1
articulate,fully,1
articulate,certainly,1
articulate,astutely,1
assure,privately,4
assure,virtually,2
assure,mutually,2
assure,fully,2
assure,unexpectedly,1
assure,simultaneously,1
assure,reportedly,1
assure,practically,1
assure,plaintively,1
assure,personally,1
claim,falsely,50
claim,Falsely,17
claim,previously,8
claim,repeatedly,8
claim,actually,3
claim,laughably,3
claim,publicly,3
claim,credibly,3
claim,initially,3
claim,recently,3
communicate,effectively,3
communicate,directly,3
communicate,regularly,1
communicate,quickly,1
communicate,profoundly,1
communicate,privately,1
communicate,poorly,1
communicate,loudly,1
communicate,hopefully,1
communicate,freely,1
convey,accurately,3
convey,usually,2
convey,fully,2
convey,strongly,1
convey,sharply,1
convey,privately,1
convey,only,1
convey,clearly,1
differentiate,clearly,2
differentiate,piously,1
differentiate,adequately,1
distinguish,generally,3
distinguish,precisely,2
distinguish,politically,1
distinguish,particularly,1
distinguish,literally,1
distinguish,clearly,1
distinguish,adequately,1
enjoin,actually,1
enunciate,simply,1
evidence,previously,1
mouth,robotically,1
mouth,merely,1
order,publicly,2
order,immediately,2
order,simply,1
order,reportedly,1
order,recently,1
order,really,1
order,quickly,1
order,possibly,1
order,personally,1
order,merely,1
pass,quickly,13
pass,unanimously,11
pass,probably,8
pass,only,7
pass,recently,5
pass,overwhelmingly,5
pass,eventually,4
pass,easily,4
pass,narrowly,4
pass,apparently,3
pronounce,correctly,2
pronounce,suddenly,1
pronounce,quickly,1
pronounce,only,1
pronounce,officially,1
pronounce,incorrectly,1
read,actually,18
read,correctly,10
read,apparently,9
read,widely,7
read,simply,7
read,regularly,6
read,carefully,6
read,recently,5
read,probably,5
read,really,3
recite,simply,3
recite,robotically,1
recite,rapidly,1
recite,properly,1
recount,supposedly,1
recount,somberly,1
recount,recently,1
recount,manually,1
recount,laughably,1
recount,honestly,1
recount,casually,1
say,recently,73
say,actually,73
say,repeatedly,55
say,simply,45
say,explicitly,39
say,publicly,36
say,basically,30
say,really,29
say,only,25
say,clearly,22
separate,truly,1
separate,totally,1
separate,sufficiently,1
separate,successfully,1
separate,physically,1
separate,palpably,1
separate,neatly,1
separate,intentionally,1
separate,forcefully,1
separate,falsely,1
speak,directly,34
speak,publicly,15
speak,fiercely,12
speak,only,10
speak,recently,8
speak,loudly,7
speak,clearly,7
speak,openly,7
speak,actually,6
speak,figuratively,5
state,publicly,22
state,clearly,19
state,explicitly,13
state,unequivocally,12
state,simply,8
state,bluntly,7
state,flatly,7
state,recently,6
state,previously,6
state,repeatedly,5
suppose,really,2
suppose,originally,2
suppose,only,2
suppose,simply,1
suppose,significantly,1
suppose,ostensibly,1
suppose,nominally,1
suppose,importantly,1
suppose,clearly,1
suppose,Presumably,1
take,seriously,230
take,only,31
take,actually,29
take,probably,22
take,directly,18
take,finally,16
take,really,15
take,apparently,14
take,certainly,14
take,immediately,13
talk,directly,14
talk,really,12
talk,only,10
talk,specifically,7
talk,publicly,6
talk,openly,6
talk,repeatedly,6
talk,actually,5
talk,constantly,5
talk,personally,5
tell,recently,25
tell,reportedly,14
tell,privately,10
tell,basically,9
tell,only,9
tell,repeatedly,8
tell,simply,8
tell,really,7
tell,probably,7
tell,actually,7
transmit,sexually,9
transmit,electronically,2
transmit,securely,1
transmit,directly,1
utter,only,1
utter,casually,1
utter,actually,1
